Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI,Environment
rho_pure_h_vap,Pure Density,Intercept,-0.04655738234958029,0.03855430433778773,-0.1093890203119785,0.04349972070138608,ester
rho_pure_h_vap,Pure Density,R,0.9780126002913319,0.004983073603657864,0.9672814861682473,0.9866839456290737,ester
rho_pure_h_vap,Pure Density,R^2,0.9565086463286124,0.00973163455114948,0.9356334734838532,0.9735452085621569,ester
rho_pure_h_vap,Pure Density,p,1.0462451483442047e-35,4.874232806614724e-28,4.5134752835515435e-41,2.069855322664276e-31,ester
rho_pure_h_vap,Pure Density,RMSE,0.023289899034171974,0.001941399698995875,0.019287254238668405,0.02694168101221666,ester
rho_pure_h_vap,Pure Density,MSE,-0.010237064626599342,0.002932005407810133,-0.015715677831279144,-0.004203968329056225,ester
rho_pure_h_vap,Pure Density,MUE,0.01897663841733214,0.001856128515243354,0.015302068617310328,0.022645232382860092,ester
rho_pure_h_vap,Pure Density,Tau,0.8828064764841942,0.025931920862052555,0.8045015332924286,0.9043819849881245,ester
h_mix_rho_x,Pure Enthalpy Of Vaporization,Slope,0.8740409679472161,0.10076411101039341,0.7374559622575148,1.1172927998503175,alcohol
h_mix_rho_x,Pure Enthalpy Of Vaporization,Intercept,8.987963706618004,6.914033974763681,-7.19124632913892,20.069566831074837,alcohol
h_mix_rho_x,Pure Enthalpy Of Vaporization,R,0.947864036308613,0.038882172497778186,0.8454866632643258,0.985063182405495,alcohol
h_mix_rho_x,Pure Enthalpy Of Vaporization,R^2,0.8984462313272558,0.0664250165885683,0.7148476977578434,0.9703494733308414,alcohol
h_mix_rho_x,Pure Enthalpy Of Vaporization,p,3.0345492585970685e-05,0.010085632080666304,2.4172580254998236e-07,0.0020893170352865734,alcohol
h_mix_rho_x,Pure Enthalpy Of Vaporization,RMSE,5.575592015653073,0.8360121599603857,3.8530734492396324,7.191378514412593,alcohol
h_mix_rho_x,Pure Enthalpy Of Vaporization,MSE,1.0296201434590173,1.7312929946300633,-2.253609498695789,4.762004966956686,alcohol
h_mix_rho_x,Pure Enthalpy Of Vaporization,MUE,5.04918571103524,0.7478592226073764,3.7289450245980627,6.6457028461702095,alcohol
h_mix_rho_x,Pure Enthalpy Of Vaporization,Tau,0.7999999999999999,0.16375371289216945,0.2771739468734333,0.9067647005823629,alcohol
h_mix_rho_x,Pure Enthalpy Of Vaporization,Slope,1.4002060757962378,0.04850961751055369,1.3079600505507345,1.4985462326199221,ester
h_mix_rho_x,Pure Enthalpy Of Vaporization,Intercept,-8.357256017927533,2.2762389563519343,-13.279535747377004,-4.330105069528891,ester
h_mix_rho_x,Pure Enthalpy Of Vaporization,R,0.9697890314847606,0.01307022619523119,0.9362406919453076,0.9879328595787764,ester
h_mix_rho_x,Pure Enthalpy Of Vaporization,R^2,0.9404907655881499,0.025137884566050907,0.8765466332542283,0.9760113350354983,ester
h_mix_rho_x,Pure Enthalpy Of Vaporization,p,1.871636857252463e-17,1.6512550570347296e-12,1.3915669862236447e-22,2.577171984401941e-13,ester
h_mix_rho_x,Pure Enthalpy Of Vaporization,RMSE,10.51057645246054,0.9975476092412111,8.478272296334783,12.454118645518163,ester
h_mix_rho_x,Pure Enthalpy Of Vaporization,MSE,9.33165653031603,0.9345055705997547,7.548842661157116,11.28056820751893,ester
h_mix_rho_x,Pure Enthalpy Of Vaporization,MUE,9.33165653031603,0.9345055705997547,7.548842661157116,11.28056820751893,ester
h_mix_rho_x,Pure Enthalpy Of Vaporization,Tau,0.9780219780219781,0.024577479594736964,0.8737820791688421,0.9663655798208222,ester
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,Slope,0.8281134432812204,0.10225535411749746,0.6840287143164865,1.059441200424925,alcohol
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,Intercept,12.792638265436167,7.215729722002153,-3.2105986256862877,24.34590965994454,alcohol
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,R,0.9454516202566059,0.037216993953343845,0.8480233849897081,0.9877966852484333,alcohol
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,R^2,0.8938787662458413,0.065234349108103,0.7191436614894027,0.9757422913877924,alcohol
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,p,3.625682174699414e-05,0.0040268700541280815,1.0470242437413778e-07,0.0019367738152216037,alcohol
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,RMSE,6.027439880601857,1.242377740399361,3.271598931553409,8.210995779862982,alcohol
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,MSE,1.9325018388302369,1.8669384766517854,-1.4617139609202539,5.788891730283199,alcohol
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,MUE,4.890343022364808,1.1527581091577233,2.7326036164721588,7.286416032057974,alcohol
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,Tau,0.7999999999999999,0.16772214325986798,0.2771739468734333,0.9067647005823629,alcohol
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,Slope,1.3933939303281508,0.04649727295800158,1.3014831917681293,1.4849301651256077,ester
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,Intercept,-6.46841126640485,2.080963018865995,-10.69895778710113,-2.510178499546612,ester
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,R,0.9802801738872141,0.008180649822295374,0.959421401545372,0.9912233669532745,ester
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,R^2,0.9609492193163467,0.015949235979633224,0.920489425743286,0.9825237631941859,ester
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,p,7.753297228110391e-20,3.2374231209829895e-14,2.228402253601351e-24,8.440129493339324e-16,ester
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,RMSE,11.767094173878732,0.907219933455256,9.915355388939963,13.491210996670153,ester
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,MSE,10.919407788414942,0.835025231237702,9.333847681916563,12.606617031465849,ester
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,MUE,10.919407788414942,0.835025231237702,9.333847681916563,12.606617031465849,ester
h_mix_rho_x_rho_pure,Pure Enthalpy Of Vaporization,Tau,0.9560439560439562,0.02914223822290113,0.8507459024472397,0.9595591798478217,ester
h_mix_rho_x_rho_pure_h_vap,Pure Enthalpy Of Vaporization,Slope,0.9044829342034967,0.10958474506627038,0.7431529699911006,1.1434681934311128,alcohol
h_mix_rho_x_rho_pure_h_vap,Pure Enthalpy Of Vaporization,Intercept,5.704719264004979,7.187497939225946,-9.74887638876902,17.20172446476785,alcohol
h_mix_rho_x_rho_pure_h_vap,Pure Enthalpy Of Vaporization,R,0.9453505383343965,0.04667075447510727,0.8101186459859322,0.9830395845833643,alcohol
h_mix_rho_x_rho_pure_h_vap,Pure Enthalpy Of Vaporization,R^2,0.8936876403291333,0.07859261293827546,0.6562922205740801,0.9663668248578334,alcohol
