Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI
rho_pure_h_vap,Pure Enthalpy Of Vaporization,MUE,4.316709195515458,0.7422395294193993,2.913059436506725,5.811929513787435
rho_pure_h_vap,Pure Enthalpy Of Vaporization,Tau,0.5810276679841897,0.09246612318379915,0.37180898774221466,0.7355351714030768
h_mix_rho_x,Binary Density,Slope,1.088949934043355,0.007978817865644349,1.0724471061593535,1.1039698484717382
h_mix_rho_x,Binary Density,Intercept,-0.0760260722890086,0.006432612308528806,-0.08810908144334695,-0.06275940889031673
h_mix_rho_x,Binary Density,R,0.9924388550361068,0.0008700768290806127,0.9906924463886071,0.9940561612432424
h_mix_rho_x,Binary Density,R^2,0.9849348809853787,0.0017268344982145425,0.9814715233314432,0.9881476517056511
h_mix_rho_x,Binary Density,p,0.0,0.0,0.0,1.145332828895156e-308
h_mix_rho_x,Binary Density,RMSE,0.016490410151972855,0.0006114749987147684,0.015273665045001663,0.01770521186592444
h_mix_rho_x,Binary Density,MSE,-0.0005129578255595326,0.0008514653149418341,-0.0021617476100909616,0.001143400953032719
h_mix_rho_x,Binary Density,MUE,0.012673441402550412,0.0005614934886099414,0.011561422387197954,0.013803409354210941
h_mix_rho_x,Binary Density,Tau,0.9299726107290462,0.005688309310426486,0.9166762578661704,0.939580519311918
h_mix_rho_x_rho_pure,Binary Density,Slope,1.0779439716387218,0.007203586259569699,1.0632081568328435,1.0913803165066283
h_mix_rho_x_rho_pure,Binary Density,Intercept,-0.06685909134624002,0.005807080293380298,-0.07769020065919685,-0.055065794748869745
h_mix_rho_x_rho_pure,Binary Density,R,0.993702031664235,0.0007197919806469692,0.9921620328874728,0.9950181179602225
h_mix_rho_x_rho_pure,Binary Density,R^2,0.9874437277336283,0.001430342648758279,0.9843854995034027,0.9900610550691034
h_mix_rho_x_rho_pure,Binary Density,p,0.0,0.0,0.0,5.161e-320
h_mix_rho_x_rho_pure,Binary Density,RMSE,0.014797299642701014,0.0005330145360595536,0.013713045984127484,0.01583419602493496
h_mix_rho_x_rho_pure,Binary Density,MSE,-0.0006748152046228927,0.0007570401939929774,-0.0021967424840714,0.0008230868217892485
h_mix_rho_x_rho_pure,Binary Density,MUE,0.01149638437810107,0.000495950009192183,0.010501675449254453,0.012522016662975427
h_mix_rho_x_rho_pure,Binary Density,Tau,0.9355825284604771,0.005183758513528642,0.9240758631572609,0.9439783595959254
h_mix_rho_x_rho_pure_h_vap,Binary Density,Slope,1.0862718442127584,0.0069414329490839945,1.0717482598697714,1.09989398263363
h_mix_rho_x_rho_pure_h_vap,Binary Density,Intercept,-0.07498483879248297,0.00562212449300639,-0.08597065403161341,-0.06305644825132128
h_mix_rho_x_rho_pure_h_vap,Binary Density,R,0.9937002129547783,0.0007441289987938962,0.9921679157050636,0.9950704002646227
h_mix_rho_x_rho_pure_h_vap,Binary Density,R^2,0.9874401132263717,0.001478766149891123,0.9843971729545301,0.9901651014827964
h_mix_rho_x_rho_pure_h_vap,Binary Density,p,0.0,0.0,0.0,9.6e-322
h_mix_rho_x_rho_pure_h_vap,Binary Density,RMSE,0.015401113222992044,0.0005350257721397943,0.01435607751669305,0.01642881091757895
h_mix_rho_x_rho_pure_h_vap,Binary Density,MSE,-0.0017452606289335812,0.000796431177013857,-0.0032329789863771697,-0.0001962404764717595
h_mix_rho_x_rho_pure_h_vap,Binary Density,MUE,0.012195703198658363,0.000504369572631708,0.011210602884831415,0.013194518003631273
h_mix_rho_x_rho_pure_h_vap,Binary Density,Tau,0.9351340236320677,0.00519723959404708,0.9234087833826238,0.9437265822418228
openff-1.0.0,Binary Density,Slope,1.086461873332835,0.006991602387224718,1.0736675125424433,1.1002036622861253
openff-1.0.0,Binary Density,Intercept,-0.0607710515508223,0.005650506104090334,-0.0721646763001943,-0.050319649272204114
openff-1.0.0,Binary Density,R,0.9932714179737039,0.0006666872845870067,0.9918115566922271,0.9944480695007284
openff-1.0.0,Binary Density,R^2,0.9865881097634923,0.0013242087769261444,0.9836901639882588,0.9889269629337255
openff-1.0.0,Binary Density,p,0.0,0.0,0.0,2.08648e-318
openff-1.0.0,Binary Density,RMSE,0.020120257569484774,0.0007632536736174729,0.018681285357095834,0.021630174881541526
openff-1.0.0,Binary Density,MSE,0.012629849843036963,0.0008106525985999558,0.01114558801656023,0.01426370610481354
openff-1.0.0,Binary Density,MUE,0.015538028618469545,0.000665650635652797,0.014315054282137482,0.016869773338832304
openff-1.0.0,Binary Density,Tau,0.9329807961633225,0.005080150375536956,0.9206663403204168,0.9403813051871537
rho_pure_h_vap,Binary Density,Slope,1.063647800522822,0.0063429100040711065,1.0512105535567375,1.0758501559746132
rho_pure_h_vap,Binary Density,Intercept,-0.05729579906245741,0.00520984842562262,-0.0673081544837314,-0.04701234239846408
rho_pure_h_vap,Binary Density,R,0.9946872772522757,0.0005719185322844782,0.993474118876647,0.9957042763975442
rho_pure_h_vap,Binary Density,R^2,0.9894027795275455,0.0011376388422564656,0.9869908248777303,0.9914270060363571
