Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI,Environment
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,RMSE,1.9090194208404758,0.22238031504145037,1.5406536626031675,2.3821131349258837,ester_ether
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,MSE,1.872502497691957,0.21502135335695188,1.540051339984748,2.3818964605983943,ester_ether
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,MUE,1.872502497691957,0.21502135335695188,1.540051339984748,2.3818964605983943,ester_ether
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,Tau,0.33333333333333337,,-0.816496580927726,,ester_ether
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,Slope,0.865185595478945,0.1277871475319812,0.6162337444370607,1.1138756373145582,alcohol_ketone
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,Intercept,-0.395188341789077,0.1561058135321214,-0.7035054099218441,-0.10306474947179489,alcohol_ketone
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,R,0.8414208497226677,0.05901510862631826,0.6914571881110257,0.9174390023059922,alcohol_ketone
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,R^2,0.7079890463480162,0.09483336512924027,0.47811304299040647,0.8416943229522144,alcohol_ketone
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,p,2.588100139566995e-07,0.00026634542927829637,2.8933950131946495e-10,0.0001916430718009895,alcohol_ketone
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,RMSE,0.56175844840409,0.030479192506572387,0.5010681004128997,0.6195310842908781,alcohol_ketone
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,MSE,-0.5430898546290134,0.03071109215625109,-0.6000902271553795,-0.4815878342321723,alcohol_ketone
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,MUE,0.5430898546290134,0.03071109215625109,0.4817478809927369,0.6002211792553065,alcohol_ketone
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,Tau,0.6811594202898551,0.08920618077974976,0.4618319863584075,0.8085091498345618,alcohol_ketone
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,Slope,0.9564808160173395,0.1166872622325781,0.7052563092425996,1.1656726812499494,alcohol_ether
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,Intercept,0.09505124525322683,0.07641758956138008,-0.043136540264800294,0.26256003712100345,alcohol_ether
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,R,0.8656668754831928,0.07874643438827579,0.6579760801295327,0.9574978979355452,alcohol_ether
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,R^2,0.7493791393088336,0.12614858059684364,0.4329325220226252,0.9168022245509877,alcohol_ether
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,p,1.3388690797879049e-09,0.0012694192761643077,4.416377580519957e-16,0.00010589007241703009,alcohol_ether
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,RMSE,0.14746639016810023,0.030929204425686613,0.09157668345212643,0.2122544467757289,alcohol_ether
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,MSE,0.07272530360551535,0.024711942538180376,0.027216741317120933,0.12368095626863634,alcohol_ether
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,MUE,0.10395914779646145,0.01981207800945971,0.07594987515490458,0.15423498424947943,alcohol_ether
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,Tau,0.6395061728395061,0.11348286671446313,0.350668132865811,0.7986038344091329,alcohol_ether
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,Slope,2.3338907690330344,,-0.6666666666666666,,alkane_alkane
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,Intercept,-0.126561260910935,,-0.5418041545925938,,alkane_alkane
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,R,0.9898156468811665,0.41276217259009684,-0.32563761570206434,0.9999070496920482,alkane_alkane
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,R^2,0.9797350148107822,0.35480189033276255,0.0,0.9998141080238563,alkane_alkane
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,p,0.09093501012604203,0.31792247216316427,0.00911160148099951,1.0,alkane_alkane
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,RMSE,0.11952119011711906,0.03222533809690933,0.05575449497254985,0.1829617296525707,alkane_alkane
